"var"	"count"	"percent"	"akaike.weight"
"SstMSurf"	1141	21.5649215649216	85.645491167492
"SstSd0_200"	317	5.99130599130599	69.9621751932571
"Rough"	810	15.3090153090153	38.3882303424391
"Slope"	970	18.3330183330183	36.1407578085886
"Depth"	250	4.72500472500472	28.0104780335512
"CanArea"	1365	25.7985257985258	19.854480544115
"EkeMSurf"	718	13.5702135702136	12.2497713052511
"SstM0_200"	1141	21.5649215649216	12.1087914829832
"GrM600_2000"	1239	23.4171234171234	12.0458275149036
"EkeM0_200"	859	16.2351162351162	9.83772839017899
"GrSdSurf"	760	14.3640143640144	9.65416691270735
"EkeSdSurf"	718	13.5702135702136	9.3120691360424
"GrM200_600"	1084	20.4876204876205	8.09256243894693
"GrSd600_2000"	575	10.8675108675109	6.6156211505912
"EkeSd0_200"	859	16.2351162351162	6.34788852909046
"GrSd200_600"	924	17.4636174636175	5.20987494670022
"SstM200_600"	109	2.06010206010206	0.940915829172593
"GrM0_200"	569	10.7541107541108	0.688693274119314
"SstSdSurf"	856	16.1784161784162	0.329803451261873
"SstSd600_2000"	330	6.23700623700624	0.117796080088326
"SstSd200_600"	434	8.2026082026082	0.0697817881797485
"SstM600_2000"	203	3.83670383670384	0.0585535796620251
"EkeSd600_2000"	537	10.1493101493101	0.0516084779977218
"EkeM600_2000"	468	8.84520884520884	0.0436579695010105
"EkeSd200_600"	537	10.1493101493101	0.0283878643377845
"GrMSurf"	569	10.7541107541108	0.0235227087533204
"GrSd0_200"	500	9.45000945000945	0.0152151016904866
"EkeM200_600"	347	6.55830655830656	0.000871177776421524
